V1	V2	V3	gene	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	log2FoldChange	padj	cate	ABsignalDIST	H3K27acFC	H3K4me1FC	H3K4me3FC	HistoneFC	HistoneD0	HistoneD4	HistoneStatus	ABStatus	Epi
chr1	11329500	11331500	Prex2	enhancer	chr1 11329500 11331500 Prex2	chr1	11300000	11600000	-0.000656904177	-0.005823649717	chr1 11300000 11600000	225.333333333333	321.666666666667	264.333333333333	286	366.333333333333	284	BtoB	-0.692461535415882	0.0000851963176652645	DOWN	-0.00516674554	1.42751479289941	1.08196721311476	0.775250227479528	1.0949107444979	270.444444444444	290.666666666667	STEADY	towardB	STEADY_towardB
chr1	17377000	17379000	Pi15	enhancer	chr1 17377000 17379000 Pi15	chr1	17200000	19000000	-0.003478008964	-0.008729199397	chr1 17200000 19000000	238.833333333333	334.388888888889	297.666666666667	311.5	377.388888888889	307.055555555556	BtoB	-0.39161917518351	0.422749825124229	STEADY	-0.005251190433	1.40009304489416	1.0464725643897	0.81363167967025	1.08673242965137	290.296296296296	314.518518518519	STEADY	towardB	STEADY_towardB
chr1	17600901	17602901	Pi15	promoter	chr1 17600901 17602901 Pi15	chr1	17200000	19000000	-0.003478008964	-0.008729199397	chr1 17200000 19000000	238.833333333333	334.388888888889	297.666666666667	311.5	377.388888888889	307.055555555556	BtoB	-0.39161917518351	0.422749825124229	STEADY	-0.005251190433	1.40009304489416	1.0464725643897	0.81363167967025	1.08673242965137	290.296296296296	314.518518518519	STEADY	towardB	STEADY_towardB
chr1	19582200	19584200	Tfap2b	enhancer	chr1 19582200 19584200 Tfap2b	chr1	19500000	19600000	-0.000733434333	-0.003910303117	chr1 19500000 19600000	212	330	243	282	320	286	BtoB	-0.316937568500869	0.00000000000970951406665226	STEADY	-0.003176868784	1.55660377358491	1.16049382716049	0.89375	1.20361586691513	261.666666666667	285	active	towardB	active_towardB
chr1	20617064	20619064	Pkhd1	promoter	chr1 20617064 20619064 Pkhd1	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	-0.231664178832419	0.534561218304283	STEADY	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	20789617	20791617	Il17f	promoter	chr1 20789617 20791617 Il17f	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	-0.915172465982351	0.446755905162625	STEADY	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	20794000	20796000	Il17f	enhancer	chr1 20794000 20796000 Il17f	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	-0.915172465982351	0.446755905162625	STEADY	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	20819312	20821312	Mcm3	promoter	chr1 20819312 20821312 Mcm3	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	-1.82457243021	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000802441467686225	DOWN	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	20889606	20891606	Paqr8	promoter	chr1 20889606 20891606 Paqr8	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	-1.73322533725962	0.0000000000000000000000000000000000000000000251056329348478	DOWN	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	20950626	20952626	Efhc1	promoter	chr1 20950626 20952626 Efhc1	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	0.242524687237804	0.473511588574091	STEADY	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	21078229	21080229	Tram2	promoter	chr1 21078229 21080229 Tram2	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	0.336809260394525	0.0000000000012964930949992	STEADY	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	21217575	21219575	Tmem14a	promoter	chr1 21217575 21219575 Tmem14a	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	-0.52794275551479	0.000867515629031327	STEADY	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	21239589	21241589	Gsta3	promoter	chr1 21239589 21241589 Gsta3	chr1	19800000	21300000	0.006438754106	0.006343172978	chr1 19800000 21300000	266.266666666667	418.2	367	425.333333333333	407.6	333.2	AtoA	0.428283814586253	0.705273389938953	STEADY	-0.0000955811280000003	1.57060590886329	1.15894641235241	0.817468105986261	1.18234014240065	350.488888888889	403.511111111111	STEADY	towardB	STEADY_towardB
chr1	23396541	23398541	Ogfrl1	promoter	chr1 23396541 23398541 Ogfrl1	chr1	23100000	23400000	0.003142708471	0.005805120572	chr1 23100000 23400000	248	427	385	436	407.333333333333	343	AtoA	-0.246424320007053	0.0374402966164827	STEADY	0.002662412101	1.72177419354839	1.13246753246753	0.842062193126024	1.23210130638065	353.333333333333	416	active	towardA	active_towardA
chr1	23760753	23762753	B3gat2	promoter	chr1 23760753 23762753 B3gat2	chr1	23500000	23800000	-0.003149803159	-0.004928374438	chr1 23500000 23800000	222.333333333333	297.666666666667	285.666666666667	291.333333333333	362.333333333333	299.333333333333	BtoB	0.760643808848718	0.000599980834549964	STEADY	-0.001778571279	1.33883058470765	1.0198366394399	0.826126954921803	1.06159805968979	268.555555555556	291.555555555556	STEADY	towardB	STEADY_towardB
chr1	23921317	23923317	Smap1	promoter	chr1 23921317 23923317 Smap1	chr1	23800000	24300000	0.004372663676	0.005606724193	chr1 23800000 24300000	218	336.6	286.6	364	345.4	291.6	AtoA	0.214017147527524	0.000000507476162769577	STEADY	0.001234060517	1.54403669724771	1.27006280530356	0.844238563983787	1.21944602217835	280.4	329.066666666667	active	towardA	active_towardA
chr1	24004656	24006656	Sdhaf4	promoter	chr1 24004656 24006656 Sdhaf4	chr1	23800000	24300000	0.004372663676	0.005606724193	chr1 23800000 24300000	218	336.6	286.6	364	345.4	291.6	AtoA	0.149651265886719	0.104072125946033	STEADY	0.001234060517	1.54403669724771	1.27006280530356	0.844238563983787	1.21944602217835	280.4	329.066666666667	active	towardA	active_towardA
chr1	24099341	24101341	Fam135a	promoter	chr1 24099341 24101341 Fam135a	chr1	23800000	24300000	0.004372663676	0.005606724193	chr1 23800000 24300000	218	336.6	286.6	364	345.4	291.6	AtoA	0.390463682573177	0.0000114569342336064	STEADY	0.001234060517	1.54403669724771	1.27006280530356	0.844238563983787	1.21944602217835	280.4	329.066666666667	active	towardA	active_towardA
chr1	24176610	24178610	Col9a1	promoter	chr1 24176610 24178610 Col9a1	chr1	23800000	24300000	0.004372663676	0.005606724193	chr1 23800000 24300000	218	336.6	286.6	364	345.4	291.6	AtoA	3.82409003899457	0.0346313697114339	STEADY	0.001234060517	1.54403669724771	1.27006280530356	0.844238563983787	1.21944602217835	280.4	329.066666666667	active	towardA	active_towardA
chr1	24586472	24588472	Col19a1	promoter	chr1 24586472 24588472 Col19a1	chr1	24400000	24800000	0.004372663676	0.006925430317	chr1 24400000 24800000	220.25	361.5	305.75	364.25	380.75	320.75	AtoA	-3.47842326419828	0.157036849522933	STEADY	0.002552766641	1.64131668558456	1.19133278822567	0.842416283650689	1.22502191915364	295.833333333333	343.833333333333	active	towardA	active_towardA
chr1	24677630	24679630	Lmbrd1	promoter	chr1 24677630 24679630 Lmbrd1	chr1	24400000	24800000	0.004372663676	0.006925430317	chr1 24400000 24800000	220.25	361.5	305.75	364.25	380.75	320.75	AtoA	0.250952399322463	0.000109065799914188	STEADY	0.002552766641	1.64131668558456	1.19133278822567	0.842416283650689	1.22502191915364	295.833333333333	343.833333333333	active	towardA	active_towardA
chr1	25032900	25034900	Adgrb3	enhancer	chr1 25032900 25034900 Adgrb3	chr1	24800000	30800000	-0.006892938352	-0.01071848071	chr1 24800000 30800000	212.85	294.183333333333	263.533333333333	265.35	327.116666666667	278.066666666667	BtoB	0.46008588974019	0.401365422533333	STEADY	-0.003825542358	1.38211573095294	1.00689349860865	0.850053497732715	1.07968757576477	256.855555555555	274.355555555555	STEADY	towardB	STEADY_towardB
chr1	25828707	25830707	Adgrb3	promoter	chr1 25828707 25830707 Adgrb3	chr1	24800000	30800000	-0.006892938352	-0.01071848071	chr1 24800000 30800000	212.85	294.183333333333	263.533333333333	265.35	327.116666666667	278.066666666667	BtoB	0.46008588974019	0.401365422533333	STEADY	-0.003825542358	1.38211573095294	1.00689349860865	0.850053497732715	1.07968757576477	256.855555555555	274.355555555555	STEADY	towardB	STEADY_towardB
chr1	30872921	30874921	Phf3	promoter	chr1 30872921 30874921 Phf3	chr1	30800000	31000000	0.006854474568	0.008115660654	chr1 30800000 31000000	246.5	403	362.5	399	455.5	354.5	AtoA	-0.1906810398594	0.00170999012626603	STEADY	0.001261186086	1.63488843813387	1.10068965517241	0.778265642151482	1.17128124515259	337.333333333333	388.166666666667	STEADY	towardA	STEADY_towardA
chr1	30948770	30950770	Ptp4a1	promoter	chr1 30948770 30950770 Ptp4a1	chr1	30800000	31000000	0.006854474568	0.008115660654	chr1 30800000 31000000	246.5	403	362.5	399	455.5	354.5	AtoA	0.218851473400483	0.0000000648773716022482	STEADY	0.001261186086	1.63488843813387	1.10068965517241	0.778265642151482	1.17128124515259	337.333333333333	388.166666666667	STEADY	towardA	STEADY_towardA
